IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
15.223.66.150,2087,0,false,ORD,North America,Chicago,303,0.00
3.136.29.104,80,0,false,ORD,North America,Chicago,272,0.00
18.134.14.36,2082,0,false,ORD,North America,Chicago,166,0.00
18.134.14.36,2083,0,false,ORD,North America,Chicago,168,0.00
15.222.62.175,2096,0,false,ORD,North America,Chicago,251,0.00
18.134.14.36,8880,0,false,ORD,North America,Chicago,168,0.00
18.156.117.187,443,0,false,ORD,North America,Chicago,178,0.00
18.134.14.36,2095,0,false,ORD,North America,Chicago,168,0.00
15.222.62.90,2086,0,false,ORD,North America,Chicago,253,0.00
18.134.14.36,80,0,false,ORD,North America,Chicago,168,0.00
18.156.117.187,2096,0,false,ORD,North America,Chicago,182,0.00
18.185.6.135,2096,0,false,ORD,North America,Chicago,184,0.00
15.222.4.96,443,0,false,ORD,North America,Chicago,332,0.00
15.222.254.155,443,0,false,ORD,North America,Chicago,250,0.00
13.58.153.189,8880,0,false,ORD,North America,Chicago,256,0.00
3.96.142.58,2052,0,false,ORD,North America,Chicago,252,0.00
18.156.117.187,2083,0,false,ORD,North America,Chicago,179,0.00
15.157.62.93,2083,0,false,ORD,North America,Chicago,247,0.00
18.156.117.187,2052,0,false,ORD,North America,Chicago,177,0.00
18.156.117.187,2082,0,false,ORD,North America,Chicago,181,0.00
18.156.117.187,2053,0,false,ORD,North America,Chicago,179,0.00
18.156.117.187,8880,0,false,ORD,North America,Chicago,184,0.00
18.191.81.253,80,0,false,ORD,North America,Chicago,237,0.00
13.58.153.189,2095,0,false,ORD,North America,Chicago,290,0.00
15.222.62.175,8080,0,false,ORD,North America,Chicago,249,0.00
18.156.117.187,2095,0,false,ORD,North America,Chicago,180,0.00
18.156.117.187,8080,0,false,ORD,North America,Chicago,180,0.00
18.156.117.187,2086,0,false,ORD,North America,Chicago,182,0.00
3.99.169.181,2083,0,false,ORD,North America,Chicago,251,0.00
15.222.4.96,8880,0,false,ORD,North America,Chicago,251,0.00
15.223.66.150,8443,0,false,ORD,North America,Chicago,251,0.00
3.96.142.58,2096,0,false,ORD,North America,Chicago,251,0.00
15.222.62.90,8880,0,false,ORD,North America,Chicago,248,0.00
15.222.61.214,2087,0,false,ORD,North America,Chicago,252,0.00
13.58.153.189,8080,0,false,ORD,North America,Chicago,296,0.00
13.37.234.4,8443,0,false,ORD,North America,Chicago,174,0.00
15.157.62.93,2087,0,false,ORD,North America,Chicago,251,0.00
13.58.153.189,443,0,false,ORD,North America,Chicago,274,0.00
15.157.62.93,2053,0,false,ORD,North America,Chicago,250,0.00
15.157.62.93,2096,0,false,ORD,North America,Chicago,252,0.00
15.222.61.74,443,0,false,ORD,North America,Chicago,248,0.00
3.129.64.170,2082,0,false,ORD,North America,Chicago,252,0.00
3.96.142.58,2053,0,false,ORD,North America,Chicago,250,0.00
15.222.61.214,2086,0,false,ORD,North America,Chicago,250,0.00
13.37.234.4,8880,0,false,ORD,North America,Chicago,186,0.00
15.222.61.214,2082,0,false,ORD,North America,Chicago,247,0.00
15.157.62.93,2086,0,false,ORD,North America,Chicago,258,0.00
13.58.43.16,2096,0,false,ORD,North America,Chicago,297,0.00
18.216.164.6,80,0,false,ORD,North America,Chicago,236,0.00
3.96.142.58,443,0,false,ORD,North America,Chicago,246,0.00
15.222.61.214,8443,0,false,ORD,North America,Chicago,251,0.00
15.222.61.214,2083,0,false,ORD,North America,Chicago,326,0.00
3.96.142.58,8443,0,false,ORD,North America,Chicago,248,0.00
15.222.61.214,8880,0,false,ORD,North America,Chicago,260,0.00
3.96.142.58,8880,0,false,ORD,North America,Chicago,250,0.00
13.48.109.48,80,0,false,ORD,North America,Chicago,197,0.00
13.58.43.16,80,0,false,ORD,North America,Chicago,278,0.00
13.58.153.189,2086,0,false,ORD,North America,Chicago,290,0.00
13.58.153.189,2096,0,false,ORD,North America,Chicago,299,0.00
18.191.81.253,2082,0,false,ORD,North America,Chicago,257,0.00
3.96.142.58,2095,0,false,ORD,North America,Chicago,250,0.00
3.96.142.58,2086,0,false,ORD,North America,Chicago,256,0.00
3.96.142.58,80,0,false,ORD,North America,Chicago,253,0.00
18.191.81.253,2086,0,false,ORD,North America,Chicago,289,0.00
3.129.64.170,8080,0,false,ORD,North America,Chicago,287,0.00
18.191.81.253,2053,0,false,ORD,North America,Chicago,235,0.00
13.58.43.16,8443,0,false,ORD,North America,Chicago,280,0.00
18.191.81.253,2095,0,false,ORD,North America,Chicago,250,0.00
13.58.153.189,2052,0,false,ORD,North America,Chicago,288,0.00
3.96.142.58,8080,0,false,ORD,North America,Chicago,256,0.00
3.129.64.170,443,0,false,ORD,North America,Chicago,241,0.00
15.223.115.169,2083,0,false,ORD,North America,Chicago,309,0.00
3.130.65.162,80,0,false,ORD,North America,Chicago,253,0.00
15.157.62.93,2052,0,false,ORD,North America,Chicago,309,0.00
15.222.254.155,2086,0,false,ORD,North America,Chicago,313,0.00
3.129.64.170,2096,0,false,ORD,North America,Chicago,235,0.00
3.129.64.170,2095,0,false,ORD,North America,Chicago,245,0.00
3.141.217.225,80,0,false,ORD,North America,Chicago,249,0.00
